Date,Adj Close
1/3/17,22.549999
1/4/17,22.360001
1/5/17,22.110001
1/6/17,22.040001
1/9/17,22.34
1/10/17,22.48
1/11/17,22.790001
1/12/17,22.309999
1/13/17,22.18
1/17/17,21.74
1/18/17,22.32
1/19/17,21.709999
1/20/17,21.959999
1/23/17,21.889999
1/24/17,22.85
1/25/17,23.559999
1/26/17,23.52
1/27/17,23.969999
1/30/17,24.18
1/31/17,24.110001
2/1/17,24.75
2/2/17,24.790001
2/3/17,24.6
2/6/17,24.34
2/7/17,24.6
2/8/17,24.209999
2/9/17,24.450001
2/10/17,24.049999
2/13/17,23.9
2/14/17,23.120001
2/15/17,23.02
2/16/17,22.98
2/17/17,23.35
2/21/17,23.77
2/22/17,23.75
2/23/17,23.48
2/24/17,23.24
2/27/17,23.76
2/28/17,23.440001
3/1/17,24.549999
3/2/17,24.700001
3/3/17,25.57
3/6/17,25.709999
3/7/17,25.639999
3/8/17,25.379999
3/9/17,25.15
3/10/17,25.18
3/13/17,25.700001
3/14/17,25.58
3/15/17,26.120001
3/16/17,26.040001
3/17/17,25.799999
3/20/17,26.209999
3/21/17,25.52
3/22/17,26.059999
3/23/17,26.469999
3/24/17,28.43
3/27/17,28.76
3/28/17,28.690001
3/29/17,28.5
3/30/17,28.969999
3/31/17,28.9
4/3/17,28.639999
4/4/17,28.59
4/5/17,28.26
4/6/17,28.620001
4/7/17,28.52
4/10/17,27.639999
4/11/17,27.18
4/12/17,26.690001
4/13/17,26.74
4/17/17,27.129999
4/18/17,27.139999
4/19/17,27.26
4/20/17,27.959999
4/21/17,27.32
4/24/17,26.57
4/25/17,26.99
4/26/17,26.790001
4/27/17,27.629999
4/28/17,27.67
5/1/17,28.290001
5/2/17,27.77
5/3/17,28
5/4/17,27.790001
5/5/17,28.200001
5/8/17,28.059999
5/9/17,28.809999
5/10/17,29.32
5/11/17,29.030001
5/12/17,28.93
5/15/17,28.83
5/16/17,29.02
5/17/17,27
5/18/17,27.48
5/19/17,27.82
5/22/17,28.059999
5/23/17,28.290001
5/24/17,28.99
5/25/17,29.43
5/26/17,29.76
5/30/17,30.700001
5/31/17,30.77
6/1/17,30.76
6/2/17,31.209999
6/5/17,31.209999
6/6/17,31.57
6/7/17,32.5
6/8/17,32.450001
6/9/17,30.6
6/12/17,31.200001
6/13/17,31.540001
6/14/17,31.059999
6/15/17,30.559999
6/16/17,29.860001
6/19/17,31.200001
6/20/17,30.83
6/21/17,32.009998
6/22/17,31.889999
6/23/17,31.73
6/26/17,32.5
6/27/17,31.66
6/28/17,32.240002
6/29/17,31.469999
6/30/17,29.860001
7/3/17,29.139999
7/5/17,30.51
7/6/17,30.1
7/7/17,30.200001
7/10/17,30.5
7/11/17,31.370001
7/12/17,31.450001
7/13/17,31.129999
7/14/17,31.790001
7/17/17,31.719999
7/18/17,31.9
7/19/17,31.82
7/20/17,32
7/21/17,32.009998
7/24/17,31.67
7/25/17,29.9
7/26/17,29.809999
7/27/17,30.24
7/28/17,29.280001
7/31/17,28.120001
8/1/17,28.34
8/2/17,28.629999
8/3/17,27.83
8/4/17,27.92
8/7/17,28.59
8/8/17,28.84
8/9/17,28.58
8/10/17,27.49
8/11/17,28.01
8/14/17,29.24
8/15/17,29.68
8/16/17,30.690001
8/17/17,29.620001
8/18/17,30.379999
8/21/17,29.559999
8/22/17,30.450001
8/23/17,30.450001
8/24/17,30.219999
8/25/17,30.290001
8/28/17,31.08
8/29/17,31.48
8/30/17,31.610001
8/31/17,31.969999
9/1/17,32.599998
9/5/17,32.07
9/6/17,32.25
9/7/17,32.790001
9/8/17,32.450001
9/11/17,33.439999
9/12/17,34.290001
9/13/17,34.59
9/14/17,34.580002
9/15/17,34.650002
9/18/17,35.43
9/19/17,35.950001
9/20/17,35.970001
9/21/17,35.91
9/22/17,36.07
9/25/17,34.869999
9/26/17,34.18
9/27/17,37.09
9/28/17,37.959999
9/29/17,39.330002
10/2/17,40.009998
10/3/17,40.369999
10/4/17,39.560001
10/5/17,39.369999
10/6/17,39.669998
10/9/17,40.959999
10/10/17,41.98
10/11/17,41.610001
10/12/17,40.580002
10/13/17,40.400002
10/16/17,41.490002
10/17/17,40.389999
10/18/17,41.650002
10/19/17,41.310001
10/20/17,41.5
10/23/17,41.560001
10/24/17,41.599998
10/25/17,41.060001
10/26/17,40.599998
10/27/17,40.849998
10/30/17,41.650002
10/31/17,44.310001
11/1/17,44.380001
11/2/17,44.34
11/3/17,43.709999
11/6/17,43.25
11/7/17,43.950001
11/8/17,44.09
11/9/17,43.5
11/10/17,44.779999
11/13/17,45.599998
11/14/17,45.799999
11/15/17,45.360001
11/16/17,46.18
11/17/17,46.16
11/20/17,47.639999
11/21/17,49.400002
11/22/17,49.139999
11/24/17,49.68
11/27/17,48.049999
11/28/17,47.93
11/29/17,43.740002
11/30/17,42.389999
12/1/17,41.990002
12/4/17,39.900002
12/5/17,41.209999
12/6/17,41.580002
12/7/17,43.200001
12/8/17,43.209999
12/11/17,43.009998
12/12/17,41.860001
12/13/17,42.049999
12/14/17,42.240002
12/15/17,42.400002
12/18/17,43.709999
12/19/17,43.98
12/20/17,45.75
12/21/17,44.419998
12/22/17,44.119999
12/26/17,42.25
12/27/17,42.48
12/28/17,41.810001
12/29/17,41.119999
